Sex,PhDSchool,FirstPosition,FirstType,CurrentPosition,CurrentPositionType,Dissertation,PrimaryAreaOfStudy,YearGraduated,SoughtAcademicEmployment?,Other Job ,Other Academic Location,Other Academic Field
Female,University of Virginia,Not in Academic Philosophy,Not in Academic Philosophy,Not in Academic Philosophy,Not in Academic Philosophy,Unknown,Unknown,1998,,,,
Male,University of Virginia,Not in Academic Philosophy,Not in Academic Philosophy,Not in Academic Philosophy,Not in Academic Philosophy,Unknown,Unknown,2000,,,,
Female,"Washington University, St. Louis",Not in Academic Philosophy,Not in Academic Philosophy,Not in Academic Philosophy,Not in Academic Philosophy,"Virtue, Practical Guidance, and Practice",Ethics,2010,,,,
Male,University of Toronto,Not In Academic Philosophy,Not In Academic Philosophy,Not In Academic Philosophy,Not In Academic Philosophy,"Vulnerability, Care, Power, and Virtue: Thinking Other Animals Anew",Ethics,2012,Unknown,Unknown,Unknown,
Male,"University of Wisconsin, Madison",Not in Academic Philosophy,Not in Academic Philosophy,Not in Academic Philosophy,Not in Academic Philosophy,Weighing the Causal Importance of Genes,Metaphysics,2007,,,,
Male,"University of Wisconsin, Madison",Not in Academic Philosophy,Not in Academic Philosophy,Not in Academic Philosophy,Not in Academic Philosophy,"Zoning, Spillovers, and Harm",Social and Political Philosophy,2002,,,,
Male,Ohio State University,Ohio State University,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,"""Epistemic Circularity: An Essay on the Problem of Meta-Justication""",,2000,Yes,,,
Unknown,University of Iowa,Ohio State University,Tenure Track/Permanent,Not in Academic Philosophy,Not in Academic Philosophy,The True Idea of the Human Mind: Hume's Bundle Theory of the Self,Philosophy of Mind,1995,,,,
Unknown,Princeton University,Princeton University,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy, moral obligations to past generations,Ethics,1999,,,,
Unknown,Princeton University,Princeton University,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,an epistemic theory of conditionals,Philosophy of Language,1993,,,,
Unknown,Princeton University,Princeton University,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,"defending cognitive illusions, individualism and a two-factor theory of content",Philosophy of Mind,2003,,,,
Male,Georgetown University,Southern Methodist University,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,Unknown,Unknown,2003,,,,
Male,"Indiana University, Bloomington",Stanford University,Post Doc/Researcher,Not in Academic Philosophy,Not in Academic Philosophy,"Diagrams, Logic and Representation",Philosophy of Logic,1995,,,,
Unknown,Stanford University,Stanford University,Post Doc/Researcher,Not in Academic Philosophy,Not in Academic Philosophy,Inferentialism with an Attitude: An Expressivist Theory of Objectivity,Metaphysics,2005,,,,
Male,"University of California, Davis",Texas Tech University,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,Unknown,Unknown,2011,,,,
Male,University of Virginia,United States Military Academy,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,Unknown,Unknown,2010,,,,
Female,"University of Michigan, Ann Arbor",University of Birmingham,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,What Normative Terms Mean and Why It Matters forEthical Theory,Ethics,2013,,,,
Male,"University of California, Davis","University of California, Davis",Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,Unknown,Unknown,2011,,,,
Unknown,Stanford University,"University of California, Irvine",Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,Bayesianism and Simplicity,Philosophy of Mathematics,2004,,,,
Male,"University of North Carolina, Chapel Hill","University of California, Los Angeles",Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,Hume and the Natural Law Tradition ,History of Philosophy,1999,,,,
Unknown,Princeton University,"University of California, Santa Barbara",Tenure Track/Permanent,Not in Academic Philosophy,Not in Academic Philosophy,the good and human motivation: a study in aristotle's ethics,Ethics,1995,,,,
Female,"University of California, Davis",University of Idaho,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,Unknown,Unknown,2008,,,,
Unknown,University of Iowa,University of Iowa,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,Intentionality and Scientific Naturalism,Philosophy of Science,1997,,,,
Male,Georgetown University,University of Memphis,Tenure Track/Permanent,Not in Academic Philosophy,Not in Academic Philosophy,Unknown,Unknown,2002,,,,
Male,"University of Michigan, Ann Arbor","University of Michigan, Ann Arbor",Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,Studies in Humeanism,History of Philosophy,1998,,,,
Female,"University of California, Davis","University of Nebraska, Omaha",Tenure Track/Permanent,Not in Academic Philosophy,Not in Academic Philosophy,Unknown,Unknown,1996,,,,
Female,"Washington University, St. Louis","University of Nevada, Reno",Post Doc/Researcher,Not in Academic Philosophy,Not in Academic Philosophy,"Autonomy, Care, and Anger: Incorporating Emotions into an Account of Autonom",Social and Political Philosophy,2001,,,,
Male,University of Notre Dame,University of Nottingham,Tenure Track/Permanent,Not in Academic Philosophy,Not in Academic Philosophy,Second Naivete: Essays on the Structure of Experience,Metaphysics,2006,,,,
Male,"University of North Carolina, Chapel Hill",University of Pittsburgh,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,"Actions, Reasons, and Motivational Strength",Metaphysics,2003,,,,
Female,"University of California, San Diego",University of Pittsburgh,Post Doc/Researcher,Not in Academic Philosophy,Not in Academic Philosophy,The Architecture of Emotion Experience,Ethics,2009,,,,
Male,University of Western Ontario,University of Saarland,Post Doc/Researcher,Not in Academic Philosophy,Not in Academic Philosophy,“Tuning the Sensors: Towards a Theory of the Generic Epistemic Subject”,Epistemology,2004,,,,
Female,"University of Colorado, Boulder",University of San Diego,Tenure Track/Permanent,Not in Academic Philosophy,Not in Academic Philosophy,"""Self-Authored Life Stories: A Narrative Conception of Personal Autonomy"" under Jim Nickel",Metaphysics,1999,,,,
Male,"University of California, San Diego",University of San Diego,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,"Nature, Reason and Philia in Euripidean Drama",History of Philosophy,2004,,,,
Male,"University of North Carolina, Chapel Hill",University of St. Andrews,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,Unavoidability and Commitment ,Ethics,2002,,,,
Female,"University of North Carolina, Chapel Hill",University of Utah,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,"Forgiveness, Resentment, and Self-Respect ",Ethics,2002,,,,
Male,University of Alberta,University of Virginia,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,Unknown,Unknown,2001,,,,
Female,University of Western Ontario,University of Western Ontario,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,“Getting Clear on Descartes’s Theories of Visual Depth Perception”,Metaphysics,2005,,,,
Unknown,University of Western Ontario,University of Western Ontario,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,"“Intuitions, Cross-Cultural Cognition, and Experimental Philosophy”",Epistemology,2011,,,,
Male,University of Western Ontario,University of Western Ontario,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,“Rethinking Pornography as a Practice”,Social and Political Philosophy,1999,,,,
Male,University of Western Ontario,University of Western Ontario,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,"“Sellars, Scientific Realism, and the Philosophy of Mind”",Philosophy of Mind,2009,,,,
Male,Northwestern University,"University of Wisconsin, Milwaukee",Lecturer,Not In Academic Philosophy,Not In Academic Philosophy,"Feeling and Judgment in Kant: Aesthetic Judgment, Practical Judgment and the Creation of Beauty in Art",Aesthetics,2007,Yes,,,
Female,"University of North Carolina, Chapel Hill",Unknown,Unknown,Not in Academic Philosophy,Not in Academic Philosophy,Inconceivable Minds ,Philosophy of Mind,2013,,,,
Male,Northwestern University,Unknown,Unknown,Not in Academic Philosophy,Not in Academic Philosophy,On John Rawls and Public Reason,Social and Political Philosophy,1999,Unknown,,,
Unknown,Northwestern University,Unknown,Unknown,Not in Academic Philosophy,Not in Academic Philosophy,"The Radical Readings of Wittgenstein: wisdom, Cavell, Kripke, and Bloor as a School of Wittgenstein Readers",History of Philosophy,1998,Unknown,,,
Unknown,Princeton University,Unknown,Unknown,Not in Academic Philosophy,Not in Academic Philosophy,truth-conditionally inert aspects of content,Philosophy of Language,2009,,,,
Male,University of Southern California,Unknown,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,Unknown,Unknown,2012,,,,
Unknown,"Washington University, St. Louis","Washington University, St. Louis",Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,An Intimate Affair: Cognition and its Physical Basis,Social and Political Philosophy,2002,,,,
Female,Cornell University,Wheaton College,Tenure Track/Permanent,Not in Academic Philosophy,Not in Academic Philosophy,Aquinas on Love,History of Philosophy,2012,,,,
Male,University of Western Ontario,Wilfrid Laurier University,Lecturer,Not in Academic Philosophy,Not in Academic Philosophy,“Concepts and Frege’s Concept-Script”,Philosophy of Language,2001,,,,
Male,Johns Hopkins University,Oakland University,Tenure Track/Permanent,Oakland University,Tenure Track/Permanent,Unknown,Unknown,2002,,,,
Male,University of Pennsylvania,Oakland University,Tenure Track/Permanent,Oakland University,Tenure Track/Permanent,Unknown,Unknown,2008,,,,
Unknown,"University of Illinois, Chicago",Oakton Community College,Tenure Track/Permanent,Oakton Community College,Tenure Track/Permanent,A Dialogical Account of Authenticity,Philosophy of Logic,2006,,,,
Male,"University of Michigan, Ann Arbor",Oberlin College,Post Doc/Researcher,Oberlin College,Post Doc/Researcher,The Relevance of Skepticism,Epistemology,2003,,,,
Male,"University of California, Los Angeles","University of California, Los Angeles",Lecturer,Oberlin College,Tenured,"Killing, Letting Die and the Denial of Resources",Ethics,2003,,,,
Female,University of Toronto,University of St. Andrews,Post Doc/Researcher,Oberlin College,Tenured,The Ethics of Aesthetic Form,Ethics,2003,Yes,,,
Female,"University of North Carolina, Chapel Hill",Occidental College,Tenure Track/Permanent,Occidental College,Tenure Track/Permanent,Grounding the Standing to Prosecute Atrocities,Social and Political Philosophy,2010,,,,
Male,"University of California, San Diego",Occidental College,Tenure Track/Permanent,Occidental College,Tenure Track/Permanent,"Work, Freedom and Community: Hegel's Normative Economics",History of Philosophy,2005,,,,
Male,Purdue University,Ohio Northern University,Lecturer,Ohio Northern University,Lecturer,The Mind's Architecture: Classical Cognitivism and Connectionism,Philosophy of Mind,2001,,,,
Female,"University Of Illinois, Urbana Champaign",Unknown,Unknown,Ohio Northern University,Tenure Track/Permanent,"Competence, Expertise, and Linguistic Communities",Philosophy of Language,2005,,,,
Unknown,"University of Texas, Austin","King’s College, London",Post Doc/Researcher,Ohio State University,Tenure Track/Permanent,Unknown,Unknown,1996,,,,
Male,Ohio State University,Ohio State University,Lecturer,Ohio State University,Lecturer,"""Realistic Virtue Ethics""",,2012,Yes,,,
Male,University of Pittsburgh,Ohio State University,Tenure Track/Permanent,Ohio State University,Tenure Track/Permanent,"""Truth and Alethic Paradox"" (Brandom)",Philosophy of Language,2007,,,,
Unknown,Yale University,Ohio State University,Tenure Track/Permanent,Ohio State University,Tenure Track/Permanent,Finite Minds as Little Gods: Leibniz on Final Causation and Freedom,Philosophy of Mind,2013,,,,
Male,"University of North Carolina, Chapel Hill",Ohio State University,Tenure Track/Permanent,Ohio State University,Tenure Track/Permanent,Progress and Expertise in Mill's Liberal Democracy,Social and Political Philosophy,2009,,,,
Male,Columbia University,Ohio State University,Lecturer,Ohio State University,Lecturer,The Context-Sensitivity of Rationality and Knowledge,Epistemology,2013,,,,
Male,New York University,Ohio State University,Post Doc/Researcher,Ohio State University,Post Doc/Researcher,Unknown,Epistemology,2006,,,,
Male,"University of California, Berkeley",Ohio State University,Tenure Track/Permanent,Ohio State University,Tenure Track/Permanent,What's Attention Got to Do with Action? An Essay on Perception and Action,Metaphysics,2005,,,,
Unknown,Stanford University,SSHRC Canada,Post Doc/Researcher,Ohio State University,Tenured,Foundations of Mental Representation,Philosophy of Mind,1998,,,,
Male,"University of California, Los Angeles",University of Manitoba,Tenure Track/Permanent,Ohio State University,Tenured,Empty Names,Philosophy of Language,2002,,,,
Male,"Rutgers University, New Brunswick",University of Pennsylvania,Tenure Track/Permanent,Ohio State University,Tenured,Unknown,Philosophy of Mind,1998,Yes,,,
Female,"University of California, Los Angeles","Ohio State University, Lima",Tenure Track/Permanent,"Ohio State University, Lima",Tenure Track/Permanent,Meaning and Communication: An Essay on the Boundary between Semantics and Pragmatics,Philosophy of Language,2010,,,,
Male,Ohio State University,Hope College,Lecturer,Ohio University,Lecturer,"""Surviving in a Different Body : An Examination and Rejection of the Lockean Thesis That Consciousness Alone Makes Personal Identity""",Ethics,2001,Yes,,,
Male,University of Pittsburgh,Ohio University,Lecturer,Ohio University,Lecturer,"""Locke's Perfectionist Liberalism: An Articulation and Defense"" (Thompson)",Social and Political Philosophy,2002,,,,
Male,University of Miami,Ohio University,Lecturer,Ohio University,Lecturer,The Epistemic Significance of Pure Indexicality,Epistemology,2008,,,,
Male,University of Arizona,Ohio University,Tenure Track/Permanent,Ohio University,Tenure Track/Permanent,Virtue Ethics and the Interests of Others,Ethics,2012,,,,
Male,"University of Wisconsin, Madison","Washington University, St. Louis",Post Doc/Researcher,Oklahoma State University,Tenure Track/Permanent,"""In Defense of Mindreading: a Philosophical Perspective on the Psychology and Neuroscience of Social Cognition""",Philosophy of Mind,2011,,,,
Male,University of Virginia,Carroll College,Tenure Track/Permanent,Old Dominion University,Lecturer,Unknown,Unknown,2009,,,,
Unknown,University of Miami,Old Dominion University,Lecturer,Old Dominion University,Lecturer,Procreation and Obligation.,Ethics,2002,,,,
Male,University of Pittsburgh,"University of Minnesota, Duluth",Lecturer,Old Dominion University,Tenure Track/Permanent,"""Public spirit and liberal democracy: John Stuart Mill's civic liberalism"" (Gauthier)",Social and Political Philosophy,2000,,,,
Female,University of Western Ontario,University of Western Ontario,Post Doc/Researcher,Old Dominion University,Tenured,“The ‘Hierarchy of Evidence’ and the Structure of Medical Research: Implications For Evidence”,Philosophy of Science,2006,,,,
Unknown,"University of North Carolina, Chapel Hill","Ono School of Law, Tel Aviv",Tenure Track/Permanent,"Ono School of Law, Tel Aviv",Tenure Track/Permanent,State Neutrality and Collective Self-Government ,Social and Political Philosophy,2004,,,,
Unknown,University of Rochester,Unknown,Unknown,Onondaga Community College,Tenured,Unknown,Metaphysics,2009,Yes,,,
Female,University of Toronto,Ontario Institute for Studies in Education,Tenure Track/Permanent,Ontario Institute for Studies in Education,Tenure Track/Permanent,"Being Your Self:  Identity, Metaphysics, and the Search for Authenticity",Metaphysics,2009,Yes,,,
Unknown,Massachusetts Institute of Technology,University of St. Andrews,Post Doc/Researcher,Open University,Post Doc/Researcher,Unknown,Metaphysics,2002,,,,
Unknown,Stanford University,Stanford University,Post Doc/Researcher,Oregon State University,Tenure Track/Permanent,Networks of Support: Politics and Genes in Contemporary Society,Social and Political Philosophy,1995,,,,
Male,"University of Missouri, Columbia","University of Missouri, Columbia",Post Doc/Researcher,Oregon Technical University,Tenure Track/Permanent,Dissertation Title: Rethinking the Evolution of Human Intelligence,Philosophy of Science,2012,,,,
Male,"University of North Carolina, Chapel Hill",Otterbein College,Tenure Track/Permanent,Otterbein College,Tenured,"Speakers, Hearers, and the Prospects for Linguistic Knowledge ",Epistemology,1997,,,,
Unknown,Purdue University,Ouachita Baptist University,Tenure Track/Permanent,Ouachita Baptist University,Tenure Track/Permanent,"The Ethics of Duns Scotus,",Ethics,2008,,,,
Male,University of Chicago,"California State University, San Luis Obispo",Tenure Track/Permanent,Oxford University,Lecturer,"Heidegger on assertion, language and social life (Pippin)",Philosophy of Language,2006,,,,
Unknown,Princeton University,New York University,Tenure Track/Permanent,Oxford University,Lecturer,the simplicity of everything,Metaphysics,2002,,,,
Male,University of Arizona,Oxford University,Tenure Track/Permanent,Oxford University,Tenured,Having Reason in Mind,Philosophy of Mind,1992,,,,
Unknown,Princeton University,Oxford University,Lecturer,Oxford University,Post Doc/Researcher,nietzsche on the decadence and flourishing of culture,History of Philosophy,2012,,,,
Unknown,Princeton University,Oxford University,Post Doc/Researcher,Oxford University,Lecturer,"on some scientific modalities: propensities, randomness, and causation",Metaphysics,2004,,,,
Male,"University of Michigan, Ann Arbor",Oxford University,Post Doc/Researcher,Oxford University,Post Doc/Researcher,Realism and Fundamentality in Ethics and Elsewhere,Ethics,2013,,,,
Unknown,Massachusetts Institute of Technology,Oxford University,Post Doc/Researcher,Oxford University,Post Doc/Researcher,Unknown,Epistemology,2012,,,,
Male,New York University,Oxford University,Tenure Track/Permanent,Oxford University,Tenure Track/Permanent,Unknown,Metaphysics,2011,,,,
Female,New York University,Oxford University,Post Doc/Researcher,Oxford University,Post Doc/Researcher,Unknown,Philosophy of Science,2011,,,,
Unknown,Rice University,Oxford University,Post Doc/Researcher,Oxford University,Post Doc/Researcher,Unknown,Unknown,2011,,,,
Male,"Rutgers University, New Brunswick",Oxford University,Post Doc/Researcher,Oxford University,Post Doc/Researcher,Unknown,Epistemology,2012,Yes,,,
Female,"Rutgers University, New Brunswick",Oxford University,Post Doc/Researcher,Oxford University,Tenure Track/Permanent,Unknown,Epistemology,2007,Yes,,,
Male,"Rutgers University, New Brunswick",Tulane University,Tenure Track/Permanent,Oxford University,Lecturer,Unknown,Metaphysics,1998,Yes,,,
Unknown,Princeton University,University of Notre Dame,Post Doc/Researcher,Oxford University,Lecturer,semantics in philosophy and cognitive neuroscience,Philosophy of Language,2010,,,,
Unknown,Princeton University,University of Pittsburgh,Tenure Track/Permanent,Oxford University,Lecturer,"pleasure, persuasion and the good in plato's gorgias",History of Philosophy,2004,,,,
Male,"University of California, Berkeley",University of Puget Sound,Lecturer,Oxford University,Post Doc/Researcher,Agency and First-Person Authority,Metaphysics,2011,,,,
Unknown,Massachusetts Institute of Technology,University of Rochester,Lecturer,Oxford University,Lecturer,Unknown,Philosophy of Logic,1999,,,,
Male,"University of Massachusetts, Amherst",Unknown,Unknown,Oxford University,Lecturer,Unknown,Unknown,1990,,,,
Male,"Rutgers University, New Brunswick",Oxford University ,Post Doc/Researcher,Oxford University ,Post Doc/Researcher,Unknown,Ethics,2013,Yes,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Pacific Lutheran University,Tenure Track/Permanent,Pacific Lutheran University,Tenure Track/Permanent,Unknown,Unknown,2000,,,,
Female,University of Virginia,Pacific Lutheran University,Tenure Track/Permanent,Pacific Lutheran University,Tenure Track/Permanent,Unknown,Unknown,2007,,,,
Male,University of Chicago,Pacific University,Lecturer,Pacific University,Lecturer,"Dissertation: ""Internalism, Practical Relations, and Psychologism"" - PDF",Ethics,2012,,,,
Female,Vanderbilt University,Pacific University,Tenure Track/Permanent,Pacific University,Tenure Track/Permanent,"Living Things and the Limit of Ethics: Hegel, Levinas, Butler (Scott)",Ethics,2009,,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Pacific University,Tenure Track/Permanent,Pacific University,Tenure Track/Permanent,Unknown,Unknown,2006,,,,
Unknown,"University Of Nebraska, Lincoln",Pacific University,Lecturer,Pacific University,Lecturer,Unknown,Unknown,2011,,,,
Male,University of Alberta,Paine College,Tenure Track/Permanent,Paine College,Tenure Track/Permanent,Unknown,Unknown,2007,,,,
Male,"University of California, Riverside",Palomar College,Tenure Track/Permanent,Palomar College,Tenured,"Critical Theory, Critical Subjects",Metaphysics,2005,,,,
Unknown,"University of Wisconsin, Madison",Pamukkale University,Tenure Track/Permanent,Pamukkale University,Tenure Track/Permanent,The Indispensability of Internalism in Epistemology,Epistemology,2004,,,,
Female,"Washington University, St. Louis",Part-time teaching in St. Louis area,Lecturer,Part-time teaching in St. Louis area,Lecturer,From Care to Virtue,Ethics,2009,,,,
Male,"University of Colorado, Boulder",Wheaton College,Lecturer,Patrick Henry College,Tenure Track/Permanent,"""A Historical Survey and Conceptual Theory of States of Affairs"" under Michael Tooley",Metaphysics,2006,,,,
Unknown,University of Rochester,Unknown,Unknown,Peace College,Tenured,Unknown,Ethics,2001,Yes,,,
Unknown,Rice University,Peking University,Lecturer,Peking University,Lecturer,Unknown,Unknown,1999,,,,
Male,Purdue University,Pennsylvania State Institute,Post Doc/Researcher,Pennsylvania State Institute,Post Doc/Researcher,The Semiotic Foundation of an Ecological Ethic,Ethics,2012,,,,
Male,University of Virginia,Penn State University,Post Doc/Researcher,Pennsylvania State University,Post Doc/Researcher,Unknown,Unknown,2013,,,,
Male,Vanderbilt University,Pennsylvania State University,Tenure Track/Permanent,Pennsylvania State University,Tenure Track/Permanent,Liberalism and Multiculturalism: A Philosophical Dilemma (Talisse),Social and Political Philosophy,2007,,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Pennsylvania State University,Lecturer,Pennsylvania State University,Lecturer,Unknown,Unknown,2012,,,,
Male,Purdue University,University of Oregon,Post Doc/Researcher,Pennsylvania State University,Post Doc/Researcher,Biotechnologies and Human Nature: Ethical and Political Challenges,Ethics,2011,,,,
Male,"Indiana University, Bloomington","Pennsylvania State University, Erie",Tenure Track/Permanent,"Pennsylvania State University, Erie,",Tenure Track/Permanent,Putting Ethics First: Reconsidering Emmanuel Levinas's Ethical Metaphysics,Ethics,2004,,,,
Male,"University of California, Riverside",Pepperdine University,Tenure Track/Permanent,Pepperdine University,Tenure Track/Permanent,Fundamentalist Contextualist Compatibilism: A Response to the Consequence Argument,Metaphysics,2010,,,,
Male,Vanderbilt University,Pepperdine University,Tenure Track/Permanent,Pepperdine University,Tenure Track/Permanent,Plato's Dialectical Republic:  A Defense of Interpretive Skepticism (Talisse and Teloh),Epistemology,2008,,,,
Unknown,"University of Texas, Austin",Pepperdine University,Tenure Track/Permanent,Pepperdine University,Tenure Track/Permanent,Unknown,Philosophy of Mind,2013,,,,
Male,City University of New York Graduate Center,Pheonix College,Tenure Track/Permanent,Pheonix College,Tenure Track/Permanent,Unknown,Unknown,2006,,,,
Male,University of Chicago,Philadelphia University,Tenure Track/Permanent,Philadelphia University,Tenure Track/Permanent,"Dissertation: ""Responsibility and Equality"" - Abstract PDF",Social and Political Philosophy,2012,,,,
Male,University of Miami,Philander Smith College in Little Rock Arkansas,Lecturer,Philander Smith College in Little Rock Arkansas,Lecturer,A Groundwork for the Theory of Notation,Philosophy of Logic,2008,,,,
Female,Brown University,Unknown,Unknown,"Philosophy of Neuroscience Project at the Werner Reichardt Centre for Integrative Neuroscience, University of Tübingen",Post Doc/Researcher,The Case for Pluralism About Introspection,Mind,2013,yes,,,
Female,"University of California, Irvine",Pierce College,Tenure Track/Permanent,Pierce College,Tenure Track/Permanent,"""On the Nature of Harm""",Ethics,2011,,,,
Male,"University of Missouri, Columbia",Kansas State University,Lecturer,Pittsburgh State University,Tenure Track/Permanent,Dissertation Title: Philosophical Intuitions – Philosophical Analysis,Epistemology,2008,,,,
Male,"University of California, San Diego","Washington University, St. Louis",Post Doc/Researcher,Pitzer College,Tenure Track/Permanent,Cognitive Science as the Computational Neuroethology of Intelligent Behavior: Why Biological Facts are Important for Explaining Intelligent Behavior,Philosophy of Science,1997,,,,
Male,"University of Massachusetts, Amherst",Unknown,Unknown,Plymouth State University,Tenured,Unknown,Unknown,1997,,,,
Male,New York University,Pomona College,Tenure Track/Permanent,Pomona College,Tenure Track/Permanent,Unknown,Philosophy of Mind,2004,,,,
Female,"University of California, San Diego",Virginia Polytechnic Institute and State University,Tenure Track/Permanent,Pomona College,Tenure Track/Permanent,Visual Representation and Scientific Knowledge,Epistemology,2002,,,,
Male,University of Chicago,Yale University,Tenure Track/Permanent,Pomona College,Tenure Track/Permanent,"Hegel on mind, action and social life: The theory of Geist as a theory of explanation (Pippin)",Philosophy of Mind,2001,,,,
Male,Florida State University,Portland Community College,Lecturer,Portland Community College,Lecturer,"Dissertation Title: ""Habermas and the American Context: Toward a Theory of a Substantive Democracy""",Social and Political Philosophy,2001,,,,
Male,Duke University,Portland State University,Tenure Track/Permanent,Portland State University,Tenure Track/Permanent,Vagueness and Normativity,Philosophy of Language,2005,,,,
Female,"University of North Carolina, Chapel Hill",University of Arizona,Lecturer,Portland State University,Tenured,"Causation, Quasi-Realism, and David Hume",Metaphysics,2003,,,,
Male,University of Pennsylvania,University of Pennsylvania,Lecturer,Portland State University,Tenure Track/Permanent,Unknown,Unknown,2011,,,,
Unknown,Rice University,Prairie View A&M,Tenure Track/Permanent,Prairie View A&M,Tenure Track/Permanent,Unknown,Unknown,2004,,,,
Male,Brown University,Unknown,Unknown,Pricewaterhouse Cooper,Not In Academic Philosophy,Eidolons: An Argument Against Explanatory Exclusion,Metaphysics,2000,no,director,,
Unknown,Massachusetts Institute of Technology,College of the Holy Cross,Lecturer,Princeton University,Tenure Track/Permanent,Unknown,Ethics,2002,,,,
Unknown,Princeton University,Cornell University,Tenure Track/Permanent,Princeton University,Tenure Track/Permanent,dispositions and their ascriptions,Philosophy of Mind,2001,,,,
Unknown,Massachusetts Institute of Technology,Cornell University,Lecturer,Princeton University,Tenured,Unknown,Philosophy of Language,1997,,,,
Unknown,Princeton University,Harvard University,Tenure Track/Permanent,Princeton University,Tenured,how to be a reasonable dogmatist,Epistemology,1997,,,,
Unknown,Massachusetts Institute of Technology,New York University,Lecturer,Princeton University,Tenured,Unknown,Ethics,2003,,,,
Male,University of Pittsburgh,Princeton University,Tenure Track/Permanent,Princeton University,Tenure Track/Permanent,"""Locality, localization, and the particle concept: topics in the foundations of quantum field theory"" (Clifton)",Metaphysics,2002,,,,
Unknown,Princeton University,Princeton University,Lecturer,Princeton University,Lecturer,"fiction, mathematics and modality (a unified fictionalism)",Philosophy of Mathematics,1999,,,,
Male,Columbia University,Princeton University,Post Doc/Researcher,Princeton University,Post Doc/Researcher,Functionalism in Scientific Practice,Philosophy of Science,2006,,,,
Unknown,Princeton University,Princeton University,Tenure Track/Permanent,Princeton University,Tenure Track/Permanent,"generics, cognition, and comprehension",Philosophy of Mind,2007,,,,
Male,Harvard University,Princeton University,Lecturer,Princeton University,Lecturer,"'Making People Happy, Not Making Happy People': A Defense of the Asymmetry Intuition in Population Ethics",Ethics,2013,,,,
Male,"University of California, Berkeley",Princeton University,Tenure Track/Permanent,Princeton University,Tenure Track/Permanent,The Relevance of Phenomenology to the Philosophy of Language & Mind,Philosophy of Mind,1998,,,,
Unknown,Massachusetts Institute of Technology,Princeton University,Tenure Track/Permanent,Princeton University,Tenured,Unknown,Philosophy of Science,2001,,,,
Unknown,New York University,Princeton University,Tenure Track/Permanent,Princeton University,Tenure Track/Permanent,Unknown,Metaphysics,2009,,,,
Unknown,Yale University,Princeton University,Tenure Track/Permanent,Princeton University,Tenured,Unknown,Unknown,2005,,,,
Unknown,Princeton University,"University of Michigan, Ann Arbor",Tenure Track/Permanent,Princeton University,Tenure Track/Permanent,a theory of counterfactuals and a counterfactual theory of necessity,Metaphysics,2005,,,,
Unknown,Princeton University,University of Pittsburgh,Tenure Track/Permanent,Princeton University,Tenured,remarks on modern nominalism,Metaphysics,1992,,,,
Male,Brown University,Unknown,Unknown,Private Practice,Not In Academic Philosophy,The Feeling of Justification: A Phenomenological Amendment to Virtue Epistemology,Epistemology,2010,no,medical doctor,,
Male,Brown University,Unknown,Unknown,Providence College,Tenure Track/Permanent,True and Immutable Natures in Descartes' Ontological Proof,Early Modern,2002,yes,,,
Male,University of Notre Dame,Providence University,Lecturer,Providence University,Tenure Track/Permanent,Practically Virtuous: Instrumental Practical Reasoning and the Virtues,Ethics,2009,,,,
Unknown,University of Iowa,Calvin College,Lecturer,Purdue University,Tenure Track/Permanent,Medieval Theories of Relations before Aquinas's Commentaries,History of Philosophy,1996,,,,
Male,"University of California, Riverside",Kenyon College,Tenure Track/Permanent,Purdue University,Tenure Track/Permanent,Hegel’s Logic of Agency: A Transcendental Defense of Free Will,Metaphysics,2005,,,,
Unknown,Yale University,National Institute of Health,Post Doc/Researcher,Purdue University,Tenure Track/Permanent,The Duty to Adopt,Social and Political Philosophy,2011,,,,
